id,ref,title,buildingId,surveyType,floor,location,zone,zoneLabel,itemDescription,comments,asbestosType,productType,riskScore,risk,status,presumed,surveyContractor,contractorPhone,surveyDate,removed,removalDateReference,image,image2,image3,pdf,x,y
39,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit Storage Box Room (281),T,Z1/19,Presumed ACMs - no access into integrity of deposit safe linings.,Unable to access due to security needed.,Presumed,Insulating Board,11 (Low Risk),Low,active,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/39.png,,,Items/J169135%20ReInspection/J169135%20(1).pdf,36.35,24.3
30,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Barracat Bar Plant Areas (167),L,Z1/01,Presumed gaskets to uninsulated pipe service flange plates.,,Presumed,Well-Bound Material,6 (Very Low Risk),Very Low,active,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/30.png,,,Items/J169135%20ReInspection/J169135%20(1).pdf,18.33,90.88
29,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Plant Room (151),X1,Z1/11,Gaskets to exposed redundant MMMF insulated pipework.,,Chrysotile,Gasket,6 (Very Low Risk),Very Low,active,FALSE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/29.png,Items/J169135 ReInspection/29_2.png,,Items/J169135%20ReInspection/J169135%20(1).pdf,52.79,34.29
36,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Plant Room (277),E4,Z1/12,"Presumed textiles within Blue MEM boxes present to room fixed to 
RHS wall.",,Presumed,Textiles/Paper,6 (Very Low Risk),Very Low,active,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/36.png,Items/J169135 ReInspection/36_2.png,,Items/J169135%20ReInspection/J169135%20(1).pdf,63.33,73.02
32,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Plantroom Circulation (173),Y,Z1/13,No access into integrity of various electrical boxes mounted to wall.,Removed - walk in fridges in place.,N/A,N/A,N/A,N/A,active,FALSE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,TRUE,Unknown,Items/J169135 ReInspection/32.png,Items/J169135 ReInspection/32_2.png,,Items/J169135%20ReInspection/J169135%20(1).pdf,64.7,53.07
37,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit (279),T,Z1/14,Presumed ACMs- No access into integrity of deposit safe linings.,Unable to access due to security needed.,Presumed,Insulating Board,9 (Low Risk),Low,,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/37.png,,,Items/J169135%20ReInspection/J169135%20(1).pdf,36.35,24.3
38,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit Corridor (280),T,Z1/15,Presumed ACMs- No access into integrity of deposit safe linings.,Unable to access due to security needed.,Presumed,Insulating Board,9 (Low Risk),Low,,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/38.png,,,,36.35,24.3
41,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit Corridor (283),T,Z1/16,Presumed ACMs- No access into integrity of deposit safe linings.,Unable to access due to security needed.,Presumed,Insulating Board,10 (Low Risk),Low,,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/38.png,,,,36.35,24.3
42,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit Corridor (284),T,Z1/17,Insulating board to internal side of door to cupboard.,Unable to access due to security needed.,Presumed,Insulating Board,9 (Low Risk),Low,,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/38.png,,,,36.35,24.3
43,J169135,Franks Portlock Consulting Limited,Harrods Retail Store,Re-Inspection Survey,Lower Ground Floor,Safe Deposit Corridor (284),T,Z1/17,Presumed ACMs- No access into integrity of deposit safe linings.,Unable to access due to security needed.,Presumed,Insulating Board,10 (Low Risk),Low,,TRUE,Franks Portlock Consulting Limited,1277285399,10/06/26 - 12/06/26,FALSE,N/A,Items/J169135 ReInspection/38.png,,,,36.35,24.3
